name	type	units
quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_X	MISC	n/a
quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_Y	MISC	n/a
quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_Z	MISC	n/a
quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_yaw	MISC	n/a
quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_pitch	MISC	n/a
quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_roll	MISC	n/a
vel_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_X	MISC	n/a
vel_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_Y	MISC	n/a
vel_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_Z	MISC	n/a
vel_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_yaw	MISC	n/a
vel_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_pitch	MISC	n/a
vel_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_roll	MISC	n/a
acc_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_X	MISC	n/a
acc_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_Y	MISC	n/a
acc_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_Z	MISC	n/a
acc_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_yaw	MISC	n/a
acc_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_pitch	MISC	n/a
acc_quat2eul_filt_unflip_rigid_handr_BPN-C043_Rigid_handR_euler_roll	MISC	n/a
quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_X	MISC	n/a
quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_Y	MISC	n/a
quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_Z	MISC	n/a
quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_yaw	MISC	n/a
quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_pitch	MISC	n/a
quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_roll	MISC	n/a
vel_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_X	MISC	n/a
vel_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_Y	MISC	n/a
vel_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_Z	MISC	n/a
vel_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_yaw	MISC	n/a
vel_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_pitch	MISC	n/a
vel_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_roll	MISC	n/a
acc_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_X	MISC	n/a
acc_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_Y	MISC	n/a
acc_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_Z	MISC	n/a
acc_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_yaw	MISC	n/a
acc_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_pitch	MISC	n/a
acc_quat2eul_filt_unflip_rigid_head_BPN-C043_Rigid_Head_euler_roll	MISC	n/a
